Nebraska ,Ben Sasse ,Republican ," (1972-02-22) February 22, 1972 (age 49) ","Management consultant;House staffer;Professor;University president;Assistant Secretary for Planning and Evaluation, HHS ",None ,"January 3, 2015 ",2026,Fremont ,Male
Nevada ,Catherine Cortez Masto ,Democratic ," (1964-03-29) March 29, 1964 (age 57) ",Lawyer ,Nevada Attorney General ,"January 3, 2017 ",2022,Las Vegas ,Female
Nevada ,Jacky Rosen ,Democratic ," (1957-08-02) August 2, 1957 (age 63) ","Computer programmer;Software developer, designer, consultant[36][37] ",U.S. House ,"January 3, 2019 ",2024,Henderson[36] ,Female
New Hampshire ,Jeanne Shaheen ,Democratic ," (1947-01-28) January 28, 1947 (age 74) ",Teacher;Entrepreneur ,Governor of New Hampshire;New Hampshire Senate ,"January 3, 2009 ",2026,Madbury ,Female
New Hampshire ,Maggie Hassan ,Democratic ," (1958-02-27) February 27, 1958 (age 63) ",Lawyer ,Governor of New Hampshire;New Hampshire Senate ,"January 3, 2017 ",2022,Newfields ,Female
New Jersey ,Bob Menendez ,Democratic ," (1954-01-01) January 1, 1954 (age 67) ",Lawyer ,U.S. House;New Jersey Senate;New Jersey General Assembly;Mayor of Union City;Union City Board of Education ,"January 17, 2006[q] ",2024,North Bergen[38] ,Male
New Jersey ,Cory Booker ,Democratic ," (1969-04-27) April 27, 1969 (age 52) ",Lawyer ,"Mayor of Newark, New Jersey;Newark Municipal Council ","October 31, 2013[r] ",2026,Newark ,Male
New Mexico ,Martin Heinrich ,Democratic ," (1971-10-17) October 17, 1971 (age 49) ",Nonprofit organization executive;Public relations consultant ,U.S. House;Albuquerque City Council ,"January 3, 2013 ",2024,Albuquerque ,Male
New Mexico ,Ben Ray Luján ,Democratic ," (1972-06-07) June 7, 1972 (age 48) ","Director of Administrative Services and;Chief Financial Officer, New Mexico Cultural Affairs Department;New Mexico Deputy State Treasurer ",U.S. House;New Mexico Public Regulation Commission ,"January 3, 2021 ",2026,Santa Fe ,Male
New York ,Chuck Schumer ,Democratic ," (1950-11-23) November 23, 1950 (age 70) ",Lawyer ,U.S. House;New York State Assembly ,"January 3, 1999 ",2022,Brooklyn ,Male
New York ,Kirsten Gillibrand ,Democratic ," (1966-12-09) December 9, 1966 (age 54) ",Lawyer;U.S. HUD special counsel ,U.S. House ,"January 26, 2009[s] ",2024,Troy[40] ,Female
North Carolina ,Richard Burr ,Republican ," (1955-11-30) November 30, 1955 (age 65) ",Sales manager;Nonprofit organization executive ,U.S. House ,"January 3, 2005 ",2022,Winston-Salem ,Male
North Carolina ,Thom Tillis ,Republican ," (1960-08-30) August 30, 1960 (age 60) ",Business consultant ,Speaker of the North Carolina House of Representatives ,"January 3, 2015 ",2026,Huntersville ,Male
North Dakota ,John Hoeven ,Republican ," (1957-03-13) March 13, 1957 (age 64) ",Banker ,Governor of North Dakota ,"January 3, 2011 ",2022,Bismarck ,Male
North Dakota ,Kevin Cramer ,Republican ," (1961-01-21) January 21, 1961 (age 60) ",State Tourism Director;State Economic Development and Finance Director;North Dakota Republican Party Chairman ,U.S. House;North Dakota Public Service Commissioner ,"January 3, 2019 ",2024,Bismarck[41] ,Male
Ohio ,Sherrod Brown ,Democratic ," (1952-11-09) November 9, 1952 (age 68) ",Teacher ,U.S. House;Ohio Secretary of State;Ohio House of Representatives ,"January 3, 2007 ",2024,Cleveland[42] ,Male
Ohio ,Rob Portman ,Republican ," (1955-12-19) December 19, 1955 (age 65) ",Lawyer;U.S. Trade Representative;Director of the Office of Management and Budget ,U.S. House ,"January 3, 2011 ",2022,Terrace Park ,Male
Oklahoma ,Jim Inhofe ,Republican ," (1934-11-17) November 17, 1934 (age 86) ","Specialist Fourth Class, U.S. Army;Businessman;Real estate developer;Corporate executive ","U.S. House;Mayor of Tulsa, Oklahoma;Oklahoma Senate;Oklahoma House of Representatives ","November 16, 1994[t] ",2026,Tulsa ,Male
Oklahoma ,James Lankford ,Republican ," (1968-03-04) March 4, 1968 (age 53) ",Teacher;Nonprofit program director ,U.S. House ,"January 3, 2015[u] ",2022,Edmond ,Male
Oregon ,Ron Wyden ,Democratic ," (1949-05-03) May 3, 1949 (age 72) ",Teacher;Nonprofit organization executive ,U.S. House ,"February 5, 1996[v] ",2022,Portland ,Male
Oregon ,Jeff Merkley ,Democratic ," (1956-10-24) October 24, 1956 (age 64) ","Nonprofit organization executive;CBO analyst, Defense Department ",Oregon House Speaker ,"January 3, 2009 ",2026,Portland ,Male
Pennsylvania ,Bob Casey Jr. ,Democratic ," (1960-04-13) April 13, 1960 (age 61) ",Teacher;Lawyer ,Pennsylvania Treasurer;Pennsylvania Auditor ,"January 3, 2007 ",2024,Scranton ,Male
Pennsylvania ,Pat Toomey ,Republican ," (1961-11-17) November 17, 1961 (age 59) ",Currency trader;Restaurant owner ,U.S. House ,"January 3, 2011 ",2022,Zionsville ,Male
Rhode Island ,Jack Reed ,Democratic ," (1949-11-12) November 12, 1949 (age 71) ",Lawyer;Army Reserve officer;Army officer ,U.S. House;Rhode Island Senate ,"January 3, 1997 ",2026,Jamestown ,Male
Rhode Island ,Sheldon Whitehouse ,Democratic ," (1955-10-20) October 20, 1955 (age 65) ",Lawyer;United States Attorney ,Attorney General of Rhode Island ,"January 3, 2007 ",2024,Newport ,Male
South Carolina ,Lindsey Graham ,Republican ," (1955-07-09) July 9, 1955 (age 65) ",Lawyer;Air Force Reserve officer ,U.S. House;South Carolina House of Representatives ,"January 3, 2003 ",2026,Seneca ,Male
South Carolina ,Tim Scott ,Republican ," (1965-09-19) September 19, 1965 (age 55) ",Insurance agent;Financial adviser ,U.S. House;South Carolina House of Representatives;Charleston County Council ,"January 3, 2013[w] ",2022,Charleston[43] ,Male
South Dakota ,John Thune ,Republican ," (1961-01-07) January 7, 1961 (age 60) ",Nonprofit organization executive;State Railroad Director;South Dakota Republican Party Executive Director ,U.S. House ,"January 3, 2005 ",2022,Sioux Falls ,Male
South Dakota ,Mike Rounds ,Republican ," (1954-10-24) October 24, 1954 (age 66) ",Businessman ,Governor of South Dakota;South Dakota Senate ,"January 3, 2015 ",2026,Fort Pierre ,Male
Tennessee ,Marsha Blackburn ,Republican ," (1952-06-06) June 6, 1952 (age 68) ","Marketing consultant;Executive Director of the Tennessee Film, Entertainment, and Music Commission ",U.S. House;Tennessee Senate ,"January 3, 2019 ",2024,Brentwood[44] ,Female
Tennessee ,Bill Hagerty ,Republican ," (1959-08-14) August 14, 1959 (age 61) ","Management consultant;Partner, private equity investment firm;United States Ambassador to Japan;Tennessee Commissioner of Economic and Community Development ",None ,"January 3, 2021 ",2026,Nashville[45] ,Male
Texas ,John Cornyn ,Republican ," (1952-02-02) February 2, 1952 (age 69) ",Lawyer ,San Antonio District Judge;Texas Attorney General;Texas Supreme Court;(Associate Justice) ,"December 2, 2002 ",2026,San Antonio ,Male
Texas ,Ted Cruz ,Republican ," (1970-12-22) December 22, 1970 (age 50) ",Lawyer;U.S. Assoc. Deputy AG;Texas Solicitor General ,None ,"January 3, 2013 ",2024,Houston ,Male
Utah ,Mike Lee ,Republican ," (1971-06-04) June 4, 1971 (age 49) ",Lawyer;Governor's general counsel;Assistant United States Attorney ,None ,"January 3, 2011 ",2022,Alpine ,Male
Utah ,Mitt Romney ,Republican ," (1947-03-12) March 12, 1947 (age 74) ",Businessman;2012 Republican presidential nominee ,Governor of Massachusetts ,"January 3, 2019 ",2024,Holladay[46] ,Male
Vermont ,Patrick Leahy ,Democratic ," (1940-03-31) March 31, 1940 (age 81) ",Lawyer ,"State's Attorney, Chittenden County, Vermont ","January 3, 1975 ",2022,Middlesex ,Male
Vermont ,Bernie Sanders ,Independent[a] ," (1941-09-08) September 8, 1941 (age 79) ",Filmmaker;Writer;Political activist ,"U.S. House;Mayor of Burlington, Vermont ","January 3, 2007 ",2024,Burlington ,Male
Virginia ,Mark Warner ,Democratic ," (1954-12-15) December 15, 1954 (age 66) ",Businessman;Venture capitalist;Virginia Democratic Party Chair ,Governor of Virginia ,"January 3, 2009 ",2026,Alexandria ,Male
Virginia ,Tim Kaine ,Democratic ," (1958-02-26) February 26, 1958 (age 63) ",Missionary;Lawyer;Teacher;Chair of the Democratic National Committee;2016 Democratic Vice Presidential Nominee ,"Governor of Virginia;Lt. Governor of Virginia;Mayor of Richmond, Virginia ","January 3, 2013 ",2024,Richmond ,Male
Washington ,Patty Murray ,Democratic ," (1950-10-11) October 11, 1950 (age 70) ",Teacher;Lobbyist ,Washington Senate;Shoreline School Board ,"January 3, 1993 ",2022,Freeland[47] ,Female
Washington ,Maria Cantwell ,Democratic ," (1958-10-13) October 13, 1958 (age 62) ",Marketing vice president ,U.S. House;Washington House of Representatives ,"January 3, 2001 ",2024,Edmonds ,Female
West Virginia ,Joe Manchin ,Democratic ," (1947-08-24) August 24, 1947 (age 73) ",Corporate executive ,Governor of West Virginia;Secretary of State of West Virginia;West Virginia Senate;West Virginia House of Delegates ,"November 15, 2010[x] ",2024,Charleston ,Male
West Virginia ,Shelley Moore Capito ,Republican ," (1953-11-26) November 26, 1953 (age 67) ","College career counselor;Director, state Board of Regents educational information center ",U.S. House;West Virginia House of Delegates ,"January 3, 2015 ",2026,Charleston ,Female
Wisconsin ,Ron Johnson ,Republican ," (1955-04-08) April 8, 1955 (age 66) ",Accountant;Corporate executive ,None ,"January 3, 2011 ",2022,Oshkosh ,Male
Wisconsin ,Tammy Baldwin ,Democratic ," (1962-02-11) February 11, 1962 (age 59) ",Lawyer ,"U.S. House;Wisconsin Assembly;Dane County, Wisconsin Board of Supervisors ","January 3, 2013 ",2024,Madison ,Female
Wyoming ,John Barrasso ,Republican ," (1952-07-21) July 21, 1952 (age 68) ",Orthopedic surgeon;Medical chief of staff;Nonprofit organization executive ,Wyoming Senate ,"June 25, 2007[y] ",2024,Casper ,Male
Wyoming ,Cynthia Lummis ,Republican ," (1954-09-10) September 10, 1954 (age 66) ",Lawyer ,U.S. House;Wyoming Treasurer;Wyoming Senate;Wyoming House of Representatives ,"January 3, 2021 ",2026,Cheyenne ,Female
